term,uses,speechpart
messed,9207,
master,9199,
wicked,9198,
stone,9197,
uniform,9197,
nephew,9189,
chick,9184,
eaten,9182,
disappointed,9179,
nw,9179,
steelers,9179,
lessons,9178,
bee,9174,
sucked,9173,
application,9165,
parking,9161,
folks,9157,
ouch,9146,
ny,9139,
expected,9137,
megan,9133,
egg,9123,
dressed,9120,
waitin,9120,
saved,9115,
jst,9114,
literally,9109,
dia,9108,
wouldnt,9098,
sm,9096,
cast,9092,
crash,9092,
kevin,9090,
sir,9090,
keys,9087,
wooo,9083,
related,9077,
showing,9077,
tango,9077,
stories,9074,
bacon,9063,
celebrating,9055,
court,9046,
ft,9046,
chilling,9043,
actions,9034,
spell,9034,
ti,9032,
fabulous,9030,
alcohol,9029,
indian,9026,
amen,9004,
awareness,9003,
spread,9003,
points,9000,
golf,8995,
received,8982,
va,8980,
effort,8977,
matthew,8976,
dropped,8975,
fo,8973,
ar,8972,
complicated,8964,
wana,8959,
congratulations,8954,
program,8950,
throwing,8950,
bio,8948,
finishing,8942,
volleyball,8941,
website,8938,
o.o,8936,
ups,8925,
dj,8902,
neighbors,8896,
hacked,8892,
cash,8891,
threw,8883,
slightly,8881,
fed,8876,
taco,8874,
delete,8872,
-.-,8866,emoji
rush,8853,
peter,8849,
chem,8829,
giant,8829,
les,8828,
bak,8827,
cheap,8827,
rainbow,8822,
breaks,8819,
ninja,8815,
spot,8813,
lift,8804,
nicole,8794,
daily,8792,
opinion,8792,
dragon,8786,
inches,8784,
precious,8783,
ra,8781,
du,8779,
discovered,8765,
emotions,8761,
app,8755,
spoiled,8753,
suffering,8750,
yah,8737,
amanda,8720,
>.<,8714,emoji
dc,8714,
hung,8702,
society,8701,
laughter,8697,
jeans,8695,
rude,8693,
gona,8680,
silent,8679,
vampire,8676,
hangin,8675,
setting,8672,
baking,8670,
packed,8659,
doors,8645,
opened,8641,
easily,8638,
mix,8638,
teaching,8637,
:-(,8634,emoji
greater,8624,
heads,8623,
bo,8614,
belong,8613,
ed,8613,
youre,8613,
toast,8611,
cost,8605,
steve,8603,
upload,8602,
added,8596,
tym,8588,
notes,8587,
style,8581,
kicking,8578,
canada,8576,
sight,8553,
activity,8551,
lyk,8551,
mu,8550,
yup,8542,
everyone's,8541,
bones,8539,
niece,8536,
bug,8534,
dads,8534,
passion,8530,
banana,8526,
talent,8525,
grass,8514,
costume,8513,
deny,8509,
nation,8509,
travel,8507,
ghost,8494,
feature,8493,
grr,8489,
blonde,8486,
wag,8481,
jail,8480,
choices,8472,
wil,8463,
ughh,8452,
appointment,8451,
cancelled,8450,
information,8437,
monkey,8437,
license,8435,
escape,8434,
dawn,8432,
german,8432,
gusto,8427,
tennis,8426,
dave,8422,
fruit,8420,
lauren,8408,
nasty,8403,
smoking,8399,
laughed,8390,
;d,8385,emoji
knees,8375,
toilet,8365,
hahahah,8351,
william,8346,
bestie,8342,
clouds,8326,
frustrated,8315,
massage,8315,
successful,8315,
posting,8310,
kong,8307,
sierra,8301,
tooth,8292,
families,8283,
walmart,8268,
decent,8261,
sand,8261,
silver,8260,
yan,8260,
fallen,8257,
austin,8246,
pot,8242,
fathers,8241,
naked,8241,
express,8237,
jk,8230,
martin,8225,
expecting,8221,
diet,8220,
walks,8215,
amy,8210,
massive,8201,
bukas,8188,
piano,8185,
kidding,8169,
drugs,8165,
brilliant,8163,
liking,8163,
schools,8154,
tiny,8152,
destroy,8149,
religion,8148,
managed,8137,
mini,8137,
september,8137,
direction,8130,
boredom,8126,
complain,8110,
stole,8105,
atleast,8089,
beats,8087,
comfort,8086,
niggas,8086,
he'll,8077,
peanut,8068,
mom's,8064,
painful,8064,
mein,8057,
washing,8056,
campus,8052,
jones,8044,
letters,8035,
japanese,8034,
rin,8018,
como,8017,
higher,8015,
violence,8015,
shoulder,8011,
choir,8008,
ability,8005,n
ton,7999,
asap,7993,
locked,7991,
seek,7989,
chase,7984,
walang,7979,
process,7969,
awful,7968,
iv,7967,
sarcastic,7965,
female,7956,
jr,7951,
colors,7944,
ooh,7941,
perfectly,7940,
bills,7931,
jordan,7929,
beating,7924,
tiger,7917,
wats,7917,
phones,7911,
boston,7898,
picking,7894,
shining,7892,
boots,7888,
cloud,7885,
lmfao,7885,
events,7881,
performance,7878,
asks,7875,
fantasy,7875,
sushi,7871,
careful,7870,
dec,7864,
steps,7861,
lover,7850,
miracle,7849,
horror,7848,
gods,7846,
mai,7845,
quality,7830,
runs,7829,
roses,7827,
wel,7827,
salad,7818,
homemade,7813,
taught,7811,
packers,7806,
creepy,7803,
bedroom,7800,
burnt,7800,
aww,7798,
flag,7791,
ruin,7790,
cafe,7783,
kim,7773,
driver,7770,
distance,7765,
victory,7758,
mouse,7756,
partner,7755,
theory,7755,
myspace,7753,
ther,7749,
ai,7748,
destiny,7743,
elizabeth,7740,
fate,7737,
nurse,7736,
issues,7735,
jacob,7735,
hunting,7731,
chips,7729,
parade,7727,
akong,7726,
grab,7723,
accident,7719,n
kyle,7712,
marie,7709,
frm,7703,
bakit,7699,
seat,7698,
happier,7696,
justice,7692,
org,7686,
sold,7686,
finds,7682,
hip,7673,
tongue,7670,
emma,7666,
stands,7660,
reply,7655,
saving,7655,
wood,7644,
bass,7643,
ow,7642,
shape,7638,
searching,7637,
negative,7633,
hitting,7624,
one's,7623,
retarded,7623,
edward,7622,
starbucks,7622,
including,7620,
hella,7615,
wave,7609,
musical,7607,
accomplished,7606,adj
bucks,7601,
suffer,7590,
woods,7589,
maths,7583,
mobile,7581,
members,7578,
pounds,7577,
lik,7572,
wins,7567,
address,7565,
cow,7565,
caring,7555,
kan,7548,
crew,7540,
posts,7535,
cheers,7532,
omfg,7524,
disease,7520,
roads,7519,
brandon,7516,
bs,7510,
dies,7507,
attempt,7499,
kau,7498,
competition,7493,
pleasure,7492,
vodka,7479,
mass,7477,
pancakes,7477,
ohhh,7474,
enemy,7471,
bin,7457,
ily,7453,
der,7450,
settings,7449,
remain,7448,
bringing,7445,
aka,7442,
formspring,7434,
curse,7433,
tomarrow,7429,
emotional,7428,
kelly,7424,
steak,7423,
prepare,7418,
fully,7416,
nuts,7414,
market,7412,
receive,7412,
cu,7407,
sports,7406,
def,7404,
stairs,7404,
babysitting,7398,
adorable,7397,
kisses,7394,
reunion,7393,
quarter,7375,
showed,7370,
mercy,7366,
haters,7365,
jay,7359,
covered,7355,
pumped,7354,
chances,7353,
sh,7351,
local,7347,
earthquake,7343,
downtown,7342,
hood,7342,
gah,7340,
gain,7338,
fishing,7331,
jake,7331,
ad,7324,
desk,7324,
catching,7323,
medicine,7322,
hop,7316,
valentine,7316,
heal,7313,
creative,7304,
pillow,7304,
laura,7300,
killer,7287,
talkative,7285,
kasi,7281,
thy,7278,
pregnant,7273,
johnson,7271,
idol,7268,
abt,7266,"""special"""
original,7266,
karma,7263,
kya,7263,
tummy,7262,
motivation,7261,
pirate,7260,
fashion,7256,
stoked,7256,
amazed,7253,
toe,7250,
sn,7243,
thou,7241,
donate,7240,
dust,7239,
remembered,7239,
meat,7235,
anime,7234,
jokes,7233,
presentation,7230,
tomorow,7228,
halo,7225,
softball,7222,
option,7218,
tall,7217,
irish,7215,
neva,7213,
sandwich,7203,
tax,7202,
brian,7200,
lyrics,7198,
noon,7197,
texting,7197,
tons,7197,
tryna,7195,
countdown,7192,
eric,7192,
pumpkin,7190,
they'll,7185,
wi,7185,
todays,7181,
flip,7178,
dragons,7177,
eventually,7175,
lock,7174,
corn,7170,
dvd,7170,
laughs,7165,
county,7161,
bhi,7160,
nahi,7160,
stops,7138,
dah,7136,
remove,7136,
chelsea,7128,
funniest,7127,
livin,7121,
sauce,7119,
helps,7117,
hu,7114,
coke,7109,
mahal,7108,
biology,7105,
personality,7102,
download,7101,
realised,7093,
clue,7088,
depression,7088,
bleh,7086,
longest,7083,
father's,7081,
weren't,7081,
dunno,7080,
contacts,7075,
enter,7071,
wth,7070,
gd,7068,
sudden,7067,
drank,7060,
jan,7056,
takin,7049,
inception,7047,
survived,7041,
average,7036,
signed,7035,
adult,7033,
bands,7032,
mon,7027,
tgif,7012,
wayne,7009,
sons,7008,
fox,7005,
argh,6995,
goals,6995,
tech,6995,
bunny,6993,
uk,6993,
doo,6990,
amber,6988,
excellent,6982,
enemies,6981,
promised,6967,
fav,6964,
socks,6961,
tommorrow,6959,
burned,6957,
pub,6957,
cooked,6955,
dallas,6951,
grocery,6951,
pro,6951,
regrets,6949,
bestest,6947,
mmmmm,6941,
:|,6940,emoji
depressing,6940,
pocket,6940,
aid,6936,
ray,6929,
drag,6924,
pressure,6924,
male,6912,
flow,6910,
gf,6910,
lightning,6905,
staring,6905,
whoa,6904,
gt,6903,
eva,6895,
repeat,6892,
sake,6889,
parts,6886,
noise,6884,
oo,6878,
loser,6877,
spider,6872,
oz,6871,
ordered,6866,
duck,6862,
network,6853,
dammit,6850,
hum,6848,
mate,6838,
genius,6837,
upside,6836,
natural,6834,
incredible,6832,
burger,6830,
breathing,6829,
michelle,6825,
tournament,6820,
funeral,6814,
kings,6813,
checked,6809,
max,6790,
drivers,6789,
theme,6788,
roof,6786,
pig,6785,
edge,6783,
dad's,6782,
craving,6777,
dishes,6777,
guide,6776,
williams,6773,
security,6770,
nya,6765,
updates,6765,
cowboys,6763,
alam,6759,
anthony,6759,
mafia,6755,
pc,6754,
passing,6751,
sooner,6748,
umm,6748,
coast,6747,
hundred,6746,
mondays,6746,
madness,6743,
rent,6743,
famous,6742,
parent,6730,
favourite,6726,
hunt,6724,
anna,6719,
tune,6717,
appreciated,6715,
salt,6708,
general,6706,
ana,6700,
pour,6700,
miami,6699,
miserable,6692,
php,6679,
coolest,6673,
parties,6665,
ruined,6665,
flies,6664,
shadow,6662,
ano,6661,
dil,6660,
review,6660,
graduate,6657,
equal,6648,
sport,6642,
belly,6640,
completed,6637,
media,6633,
fancy,6625,
troops,6619,
january,6616,
pas,6614,
mee,6612,
prepared,6610,
square,6610,
avoid,6607,
community,6607,
based,6599,
jesse,6593,
sadness,6591,
sharing,6591,
patrick,6590,
china,6587,
built,6585,
soft,6583,
commercial,6580,
infection,6577,
skills,6577,
effect,6574,
ages,6565,
league,6561,
mexican,6555,
fest,6545,
nerd,6543,
visiting,6541,
wud,6540,
trade,6539,
johnny,6537,
moves,6531,
wonderland,6531,
coach,6530,
gross,6530,
ache,6526,v
nyc,6514,
blank,6511,
suit,6508,
selfish,6504,
streets,6504,
friggin,6497,
cutting,6496,
meds,6496,
progress,6496,
kahit,6494,
crime,6491,
asian,6490,
lion,6489,
insurance,6487,
grandpa,6485,
hits,6484,
med,6479,
zombies,6477,
idiots,6476,
serve,6475,
title,6469,
bum,6467,
sentence,6467,
sooooooo,6460,
grad,6459,
charge,6455,
bridge,6454,
texts,6452,
proper,6449,
flash,6443,
makeup,6442,
ashamed,6441,
trash,6441,
grades,6434,
bubble,6430,
position,6427,
dig,6422,
stays,6421,
modern,6418,
deleted,6417,
garage,6416,
cum,6412,
powerful,6412,
scene,6408,
puts,6404,
design,6401,
cheered,6397,
favor,6396,
ann,6395,
plays,6395,
ftw,6394,
jimmy,6392,
midterm,6389,
stupidity,6385,
fourth,6382,
ultimate,6382,
players,6373,
highly,6372,
fr,6371,
jazz,6367,
requests,6365,
guns,6361,
fools,6360,
pathetic,6360,
arrive,6355,
chip,6348,
where's,6347,
hugged,6338,
bone,6334,
reminds,6333,
itunes,6329,
salamat,6329,
physical,6324,
shoe,6322,
useless,6318,
frozen,6317,
neighbor,6316,
tie,6316,
luke,6313,
cherish,6310,
code,6309,
kills,6299,
refuse,6296,
studies,6296,
intense,6286,
soldier,6283,
afford,6270,
sakit,6267,
pala,6264,
par,6261,
ops,6251,
mis,6250,
doc,6248,
aw,6247,
jess,6247,
task,6242,
mentally,6237,
poo,6236,
rt,6234,
mystery,6231,
paranormal,6231,
holds,6227,
aaron,6216,n
lyf,6210,
correct,6209,
washington,6208,
yahoo,6206,
skating,6204,
she'll,6200,
kayo,6199,
web,6189,
giants,6184,
release,6181,
hating,6180,
booked,6179,
li,6178,
moody,6174,
cuddle,6173,
protect,6172,
recently,6170,
grant,6169,
limit,6167,
lit,6167,
tank,6163,
bow,6160,
career,6158,
fairy,6148,
surely,6148,
dangerous,6146,
jeff,6142,
jim,6140,
hooray,6136,
grey,6134,
pee,6133,
sundays,6127,
worship,6125,
sean,6121,
kingdom,6118,
everyones,6115,
yoga,6115,
fortune,6109,
labor,6091,
relationships,6088,
sweat,6087,
current,6085,
theatre,6082,
slap,6080,
dirt,6078,
todo,6077,
confidence,6075,
)=,6074,emoji
jets,6067,
toes,6067,
birthdays,6062,
rights,6057,
vida,6057,
exercise,6054,
ankle,6053,
assignments,6051,
year's,6051,
andy,6048,
daw,6046,
valley,6046,
conquer,6045,
jane,6043,
basically,6037,
awww,6032,
billy,6030,
central,6024,
australia,6022,
projects,6019,
potatoes,6018,
rob,6012,
worries,6010,
yawn,6006,
delta,6005,
ova,5992,
op,5987,
cherry,5981,
conference,5973,
poker,5971,
artist,5966,
classic,5963,
flower,5958,
strawberry,5953,
ing,5949,
mountains,5945,
hain,5944,
youu,5942,
popcorn,5936,
ship,5936,
mornings,5935,
apa,5932,
tis,5930,
ac,5927,"""special"""
bake,5927,
beans,5927,
restaurant,5925,
stranger,5924,
beef,5921,
believes,5916,
amazin,5902,
bestfriend,5895,
blues,5895,
connection,5895,
rains,5890,
som,5889,
boxes,5888,
wasting,5885,
confusing,5880,
model,5876,
vision,5873,
grrrr,5870,
smiley,5869,
peaceful,5864,
lolz,5856,
nyo,5851,
abuse,5846.76,n
thankyou,5842,
unique,5839,
bb,5838,
comedy,5838,
tat,5830,
unknown,5828,
aim,5827,
signs,5825,
insomnia,5820,
tao,5819,
captain,5811,
ce,5805,
tt,5804,
michigan,5792,
=/,5791,emoji
plastic,5789,
international,5788,
blackberry,5786,
mixed,5785,
kate,5782,
closing,5781,
whew,5776,
superbowl,5775,
isang,5772,
relief,5772,
contest,5771,
deserves,5769,
tip,5768,
thick,5766,
inspiration,5761,
tayo,5759,
jamie,5756,
lisa,5752,
content,5748,
tony,5747,
plain,5743,
celebration,5742,
scratch,5735,
buhay,5730,
crawl,5728,
lecture,5721,
knife,5720,
studio,5717,
medical,5716,
actual,5715,
pi,5715,
sara,5715,
granted,5706,
charger,5701,
remembering,5701,
spare,5697,
legend,5696,
psych,5696,
psychology,5693,
balance,5690,
christopher,5687,
people's,5687,
rawr,5686,
constantly,5685,
muna,5685,
ohio,5683,
oven,5682,
americans,5680,
details,5679,
private,5673,
secrets,5671,
preparing,5668,
ich,5667,
zone,5663,
stuffed,5662,
nail,5661,
ikaw,5660,
mario,5658,
rolling,5658,
esta,5656,
hiding,5656,
illness,5650,
checking,5649,
yeh,5649,
hated,5647,
shorts,5646,
privacy,5644,
ser,5643,
urself,5640,
british,5636,
os,5636,
sadly,5636,
asshole,5630,
stare,5629,
settle,5628,
jumping,5627,
realise,5626,
stephen,5626,
blog,5621,
pays,5618,
closet,5617,
fone,5616,
murder,5612,
untill,5612,
stressful,5610,
climb,5607,
pen,5607,
desperate,5604,
therapy,5604,
touched,5601,
grew,5597,
spoke,5593,
eid,5591,
itz,5591,
mighty,5590,
fought,5582,
battery,5580,
rings,5578,
washed,5578,
pin,5576,
bedtime,5573,
confession,5572,
darling,5572,
presence,5571,
france,5568,
gear,5568,
ughhh,5567,
ole,5563,
guard,5561,
georgia,5559,
ahhhhh,5556,
daughters,5556,
sang,5553,
cod,5552,
wrap,5552,
dye,5541,
incredibly,5538,
liars,5534,
albert,5532,
impression,5530,
bk,5527,
mars,5527,
solve,5524,
suicide,5523,
wrk,5521,
blanket,5520,
ignorance,5519,
ulit,5518,
weakness,5518,
brittany,5515,
anytime,5511,
guilty,5510,
borrow,5505,
junior,5504,
issue,5491,
circle,5490,
swing,5487,
talks,5487,
ty,5485,
romeo,5481,
yankee,5474,
baked,5472,
arts,5471,
owe,5469,
man's,5468,
essays,5467,
honesty,5459,
invited,5458,
weed,5458,
sho,5457,
rage,5455,
allen,5452,
pulling,5451,
rehearsal,5451,
blowing,5450,
target,5448,
kitten,5447,
starving,5444,
xxxx,5442,
circles,5438,
tape,5433,
unexpected,5431,
apply,5430,
hoy,5430,
attend,5429,
algebra,5427,
wed,5418,
chose,5417,
account,5410.76,v
kindness,5410,
chain,5408,
younger,5408,
steven,5406,
wheel,5405,
expensive,5401,
wht,5400,
lip,5399,
potato,5399,
promises,5396,
feb,5390,
imagination,5389,
twin,5388,
celtics,5385,
taxes,5385,
cable,5384,
poop,5381,
az,5379,
sincerely,5376,
italian,5374,
koi,5374,
leads,5372,
soldiers,5371,
heather,5365,
award,5364,
lawn,5364,
toys,5364,
hoe,5361,
someone's,5359,
nag,5358,
waited,5358,
subject,5357,
hunter,5351,
jacket,5349,
fellow,5346,
lifes,5346,
smack,5346,
sms,5345,
jon,5344,
urge,5329,
blows,5324,
lap,5324,
nickname,5324,
buddies,5323,
colour,5320,
waves,5318,
stolen,5316,
lane,5315,
mau,5312,
numb,5310,
oi,5305,
hook,5303,
arent,5302,
replace,5299,
awards,5298,
fridays,5297,
responsible,5296,
backwards,5292,
mcdonalds,5285,
shared,5278,
holla,5275,
cali,5273,
applications,5271,
quiero,5271,
bat,5270,
horses,5270,
dahil,5269,
anatomy,5256,
reached,5256,
diego,5253,
bullet,5252,
thx,5251,
wierd,5249,
sorrow,5248,
theater,5239,
teen,5238,
fears,5236,
woah,5234,
comp,5232,
twins,5232,
plate,5231,
fridge,5230,
professor,5229,
roommate,5228,
cricket,5227,
statement,5227,
tau,5225,
FALSE,5224,
absolute,5221,a
instant,5219,
dearly,5218,
mouthy,5216,
africa,5215,
nmn,5215,
tub,5215,
shock,5213,
sticks,5213,
hv,5209,
paris,5208,
sacrifice,5206,
kayla,5205,
ab,5202,"""special"""
wan,5199,
acceptance,5197,n
hyper,5195,
castle,5192,
fails,5190,
feliz,5190,
rolls,5190,
february,5189,
comfortable,5187,
romance,5185,
cud,5183,
:@,5182,emoji
heels,5181,
winner,5180,
araw,5177,
inspired,5176,
plant,5175,
minus,5172,
homeless,5170,
teams,5170,
fade,5166,
o'clock,5162,
au,5156,
oops,5156,
skip,5154,
scare,5149,
fi,5147,
definately,5141,
alert,5140,
continues,5136,
woooo,5136,
bitter,5131,
deeply,5127,
eagles,5127,
achieve,5126,v
brains,5126,
sweetest,5125,
vi,5119,
hint,5114,
bleed,5111,
affect,5110,
spam,5110,
brownies,5109,
bleeding,5105,
carolina,5103,
gray,5098,
plenty,5093,
answered,5092,
fights,5092,
shud,5092,
jet,5091,
pointless,5086,
opens,5080,
pit,5080,
they've,5080,
wiped,5080,
swift,5079,
solid,5078,
cop,5075,
charles,5071,
involved,5071,
voices,5070,
colts,5069,
cupcakes,5059,
liberty,5059,
aware,5058,
ngayon,5055,
psalm,5048,
rap,5048,
maria,5047,
opposite,5042,
richard,5042,
aur,5035,
keyboard,5031,
episodes,5025,
c'mon,5023,
lemon,5022,
worlds,5019,
brazil,5018,
amor,5017,
batman,5016,
typing,5016,
fries,5011,
pops,5010,
jerk,5008,
slip,5005,
cops,5003,
mm,5001,
revenge,5000,
grind,4993,
wah,4988,
cam,4986,
humans,4984,
supper,4984,
advance,4981,
drew,4979,
hills,4977,
orientation,4977,
joseph,4976,
bah,4975,
struggle,4975,
todos,4972,
pepper,4969,
puppies,4969,
nerves,4968,
cruise,4966,
msn,4966,
excitement,4965,
lied,4965,
stood,4964,
twenty,4963,
nman,4961,
randomly,4961,
electric,4958,
potential,4953,
sickness,4953,
chasing,4952,
rabbit,4947,
vet,4945,
ds,4939,
hahahahaha,4936,
knocked,4936,
joined,4932,
happiest,4929,
proof,4929,
pouring,4928,
liar,4927,
drinkin,4923,
role,4920,
runnin,4918,
duh,4915,
periods,4914,
yun,4914,
priceless,4913,
sleeps,4913,
affected,4912,
pla,4912,
embrace,4911,
snake,4911,
views,4911,
staff,4905,
regular,4899,
complaining,4890,
nxt,4890,
dapat,4889,
henry,4889,
robin,4884,
che,4883,
resolution,4880,
frank,4876,
korea,4876,
braces,4872,
mar,4869,
barn,4866,
technology,4864,
access,4862.26,n
friendly,4860,
tastes,4859,
begun,4852,
penis,4852,
bff,4846,
stephanie,4844,
inch,4843,
independence,4842,
bottles,4841,
mummy,4840,
greatly,4839,
boot,4838,
saint,4838,
crowd,4831,
cooler,4830,
grill,4825,
laid,4825,
philosophy,4825,
ummm,4825,
breeze,4824,
hmu,4824,
nope,4823,
tiring,4821,
greek,4818,
headin,4817,
pleased,4807,
stealing,4806,
apologize,4805,
gi,4800,
sydney,4799,
cha,4790,
houston,4783,
mere,4783,
forced,4782,
8p,4780,emoji
tomorrow's,4779,
wut,4777,
bon,4771,
seattle,4769,
spin,4769,
whore,4769,
colorado,4768,
kissed,4767,
manager,4766,
yelling,4766,
invasion,4765,
kat,4765,
o_o,4765,
tmrw,4763,
cruel,4761,
eatin,4760,
burns,4759,
memorial,4759,
paradise,4759,
soda,4759,
alabama,4758,
lovers,4752,
innocent,4750,
testing,4750,
tornado,4749,
legal,4746,
ahaha,4742,
emo,4742,
forest,4741,
junk,4741,
shoulders,4738,
errands,4737,
norris,4737,
quizzes,4737,
skinny,4736,
poem,4735,
insanity,4728,
switch,4728,
wot,4726,
disaster,4725,
raw,4725,
endless,4723,
anne,4722,
yey,4722,
bu,4721,
poetry,4719,
bugs,4716,
determined,4716,
blew,4710,
msg,4707,
ham,4705,
marks,4704,
dealing,4702,
dd,4701,
mia,4700,
jelly,4689,
realy,4689,
ward,4687,
rocked,4686,
gots,4685,
sheep,4684,
storms,4684,
souls,4683,
rocky,4682,
ali,4678,
dats,4678,
melissa,4676,
gurl,4675,
brett,4673,
political,4668,
sins,4668,
computers,4667,
eagle,4662,
bliss,4661,
tapos,4659,
listened,4655,
freshman,4654,
panic,4654,
topic,4645,
emotion,4644,
hmmmmm,4643,
crystal,4640,
wallet,4639,
strike,4638,
jennifer,4635,
pt,4635,
treasure,4633,
cody,4631,
danielle,4631,
rebecca,4628,
victoria,4628,
truely,4625,
we'd,4625,
section,4624,
impressed,4623,
officer,4623,
treated,4622,
characters,4621,
roller,4621,
conscious,4618,
glorious,4617,
pills,4615,
blown,4612,
believing,4610,
roast,4609,
fl,4607,
arizona,4606,
discover,4601,
filling,4600,
tp,4600,
ver,4597,
punk,4596,
grandparents,4591,
fullest,4590,
customer,4588,
explode,4588,
karaoke,4588,
painted,4586,
allergies,4585,
kc,4581,
sink,4581,
tlga,4579,
boobs,4577,
romantic,4577,
guts,4571,
nursing,4571,
obvious,4571,
gum,4570,
rescue,4567,
edit,4563,
shirts,4563,
lasts,4556,
blink,4554,
gig,4553,
drives,4548,
mt,4548,
pasta,4546,
lg,4545,
mates,4543,
prolly,4540,
deer,4537,
prefer,4533,
forgiveness,4532,
rangers,4529,
intelligent,4528,
louis,4527,
jumped,4525,
condition,4524,
fort,4520,
worn,4518,
drown,4514,
drum,4513,
global,4512,
recovery,4512,
haiti,4511,
illegal,4510,
skies,4510,
canceled,4509,
humor,4509,
chillen,4508,
perry,4507,
fuk,4505,
smash,4502,
root,4498,
conversations,4496,
chaos,4495,
dating,4495,
diwali,4494,
parang,4490,
kami,4488,
cereal,4485,
bra,4484,
recommend,4484,
describes,4482,
neighborhood,4482,
subway,4481,
teenage,4479,
invisible,4476,
realizing,4475,
factor,4471,
personally,4471,
taong,4471,
hoes,4470,
prize,4468,
yankees,4467,
served,4465,
leader,4463,
destination,4461,
ash,4460,
pushing,4457,
article,4454,
extreme,4453,
entertaining,4452,
highest,4449,
holly,4449,
safely,4449,
eternal,4444,
source,4443,
nalang,4442,
muscles,4441,
tied,4441,
katy,4436,
snap,4433,
bars,4430,
reaction,4430,
terms,4428,
bastard,4427,
jeremy,4426,
natalie,4425,
echo,4423,
base,4421,
lower,4421,
;-),4419,emoji
habit,4419,
properly,4418,
sober,4418,
ignorant,4416,
cutest,4415,
spinning,4410,
wif,4408,
bros,4406,
gee,4404,
interest,4404,
karate,4404,
misery,4402,
wondered,4402,
yell,4402,
lungs,4399,
sales,4398,
shouldnt,4395,
thrown,4395,
delay,4394,
aha,4391,
ban,4391,
friend's,4391,
routine,4387,
scars,4386,
courtney,4385,
addiction,4384,
response,4381,
brick,4377,
coat,4377,
gang,4376,
wrapped,4375,
facts,4373,
partying,4373,
finale,4371,
zach,4368,
somethings,4367,
kang,4363,
fab,4361,
ipad,4357,
championship,4355,
hp,4355,
meow,4355,
nathan,4355,
des,4353,
percent,4353,
davis,4352,
fist,4351,
celebrity,4348,
countries,4346,
erin,4342,
cus,4341,
pound,4341,
whip,4341,
betta,4339,
nov,4339,
dorm,4338,
tick,4338,
lewis,4336,
yuck,4335,
aye,4334,
desert,4333,
raised,4326,
statuses,4325,
finaly,4323,
dose,4315,
worrying,4315,
definition,4314,
atm,4311,
automatically,4310,
climbing,4309,
curious,4309,
shoppin,4308,
damage,4302,
generation,4300,
recent,4300,
sheets,4299,
treatment,4297,
entertainment,4288,
cheat,4286,
cn,4284,
virginia,4279,
gimme,4277,
jerry,4277,
pat,4276,
popular,4276,
union,4275,
healing,4273,
rocking,4273,
candle,4271,
rat,4271,
dylan,4270,
satisfied,4269,
bella,4267,
danny,4267,
draft,4265,
torn,4265,
conclusion,4263,
diamond,4260,
dudes,4259,
password,4259,
ck,4252,
thanking,4252,
respond,4250,
attractive,4248,
solution,4248,
manage,4246,
shy,4245,
reminded,4244,
debate,4241,
aa,4240,"""special"""
veterans,4239,
basement,4236,
replied,4236,
directions,4234,
furniture,4234,
pity,4234,
sanity,4233,
seniors,4233,
millions,4228,
fixing,4221,
bites,4220,
gary,4220,
wore,4220,
forgetting,4217,
netflix,4216,
thumb,4216,
joys,4215,
cuts,4214,
apples,4213,
serving,4213,
hawaii,4212,
phrase,4212,
emergency,4210,
sarap,4210,
constant,4209,
adventures,4207,
tigers,4207,
wolf,4207,
faced,4204,
bush,4198,
politics,4198,
twisted,4197,
hail,4196,
ut,4194,
passes,4193,
physically,4192,
ripped,4192,
dum,4190,
fri,4190,
mundo,4188,
rare,4188,
champions,4187,
grave,4186,
haunted,4186,
rockin,4186,
speaks,4185,
korean,4183,
shark,4180,
coughing,4174,
tacos,4174,
lemons,4173,
sets,4171,
effin,4170,
ian,4167,
movin,4165,
toh,4164,
needing,4162,
allergic,4160,
frame,4160,
location,4159,
handsome,4158,
brad,4154,
melt,4154,
mid,4154,
basic,4153,
samantha,4153,
sux,4152,
t-shirt,4150,
dee,4149,
ego,4149,
muscle,4147,
miller,4145,
outfit,4140,
buffalo,4138,
fin,4135,
opinions,4135,
km,4133,
republic,4132,
overcome,4131,
groups,4130,
tide,4130,
russian,4129,
hollywood,4128,
tequila,4128,
failing,4127,
hidden,4127,
beloved,4126,
chili,4122,
criminal,4119,
data,4119,
measure,4119,
freeze,4118,
sem,4115,
marines,4113,
closest,4112,
poison,4112,
listenin,4105,
:-d,4093,emoji
magical,4092,
soooooooo,4092,
ginger,4090,
iba,4090,
irritated,4090,
yumm,4089,
ew,4088,
led,4083,
atlanta,4082,
crib,4082,
marching,4080,
mubarak,4080,
breast,4079,
considered,4079,
laws,4079,
ave,4078,
este,4077,
campaign,4076,
powers,4075,
magazine,4073,
voted,4072,
mong,4071,
procrastination,4071,
kar,4070,
bothered,4066,
saturdays,4064,
hirap,4063,
yelled,4063,
existence,4059,
shocked,4056,
leavin,4050,
whisper,4050,
emails,4049,
print,4049,
heroes,4048,
counts,4041,
dayy,4041,
mud,4040,
clap,4039,
advantage,4038,
geez,4037,
confusion,4035,
adding,4034,
shed,4033,
zumba,4033,
types,4032,
houses,4031,
kinds,4030,
latest,4030,
obsessed,4030,
walkin,4030,
audition,4029,
olive,4029,
invented,4027,
items,4027,
troubles,4023,
