term,uses,speechpart
interesting,39638,
season,39631,
short,39381,
strong,39175,
inside,39132,
lose,39074,
jus,38957,
;),38943,emoji
message,38913,
answer,38790,
truth,38745,
spring,38639,
wont,38600,
games,38483,
single,38481,
death,38236,
list,38060,
city,37995,
lang,37913,
cleaning,37798,
door,37774,
blood,37766,
stuck,37669,
football,37664,
power,37628,
=),37615,emoji
blah,37609,
aint,37487,
listen,37395,
driving,37287,
green,37287,
finish,37165,
exam,37158,
sleeping,37143,
ive,36946,
front,36838,
hates,36827,
mr,36789,
shower,36749,
video,36644,
ni,36531,
sigh,36531,
classes,36511,
leaving,36509,
women,36213,
boring,36049,
thursday,35976,
parents,35897,
moving,35878,
pick,35777,
john,35726,
town,35706,
gettin,35698,
practice,35661,
asleep,35629,
park,35580,
tha,35481,
starts,35332,
beat,35295,
broken,35222,
pictures,35191,
officially,35042,
lady,35038,
chance,34997,
hang,34953,
kid,34951,
internet,34841,
wondering,34820,
child,34812,
eye,34786,
trust,34730,
gym,34654,
soul,34638,
date,34627,
awake,34583,
random,34401,
grow,34327,
happiness,34310,
lives,34309,
happened,34288,
chicken,34146,
dark,34041,
mga,33936,
ah,33907,
em,33883,
page,33861,
cat,33859,
bye,33833,
thankful,33759,
enjoying,33719,
longer,33660,
heaven,33644,
wasn't,33636,
youtube,33601,
hoping,33563,
voice,33555,
needed,33496,
lie,33441,
thanksgiving,33428,
human,33414,
hai,33387,
safe,33338,
alot,33223,
fear,33081,
country,32962,
woo,32922,
takes,32861,
memories,32815,
felt,32552,
sky,32542,
they're,32427,
evening,32410,
xx,32269,
sound,32178,
fine,32174,
decided,32159,
air,32156,
due,32073,
save,31957,
sit,31840,
woot,31831,
kick,31811,
asked,31675,
minute,31635,
ain't,31612,
broke,31565,
bus,31564,
wear,31564,
writing,31559,
kiss,31554,
line,31528,
pass,31481,
bless,31471,
fact,31302,
hmmm,31285,
history,31258,
tuesday,31251,
dnt,31151,
step,31104,
state,31099,
realize,30973,
hanging,30924,
couldn't,30912,
died,30765,
wishing,30633,
who's,30561,
star,30552,
hmm,30500,
moon,30487,
small,30477,
lmao,30441,
young,30213,
problem,30179,
walking,30165,
feet,30130,
concert,30098,
fail,30064,
doesnt,30045,
beer,29975,
warm,29831,
studying,29821,
plan,29725,
bday,29664,
songs,29648,
goodnight,29639,
lucky,29599,
earth,29584,
halloween,29569,
learned,29530,
king,29500,
al,29491,
gay,29468,
holy,29426,
sum,29421,
cup,29414,
brain,29381,
tears,29341,
cake,29297,
sing,29278,
born,29269,
luv,29155,
joy,29122,
holiday,29097,
we'll,28982,
tim,28981,
wouldn't,28912,
vacation,28882,
kno,28881,
tree,28770,
catch,28715,
afternoon,28679,
fly,28662,
chillin,28633,
si,28618,
fair,28580,
sense,28509,
math,28501,
falling,28470,
memory,28410,
pics,28383,
fat,28371,
drinking,28343,
cream,28272,
ba,28192,
middle,28163,
giving,28154,
daughter,28077,
war,28073,
drama,28044,
fell,28038,
plans,27999,
everyday,27992,
forgot,27922,
poor,27858,
father,27829,
freaking,27815,
husband,27775,
scared,27735,
group,27726,
supposed,27711,
dis,27699,
heading,27665,
alive,27649,
type,27566,
wedding,27554,
sounds,27537,
act,27477,
fuckin,27441,
join,27429,
art,27356,
worry,27319,
speak,27273,
age,27175,
touch,27172,
spending,27165,
hungry,27138,
round,27021,
dan,26920,
ahead,26912,
important,26884,
alright,26873,
drunk,26870,
headache,26851,
fighting,26786,
eve,26765,
online,26764,
pizza,26742,
sore,26674,
ll,26648,
para,26638,
tea,26551,
shut,26530,
bought,26493,
mouth,26463,
wen,26460,
gift,26452,
realized,26452,
thoughts,26362,
note,26350,
roll,26342,
pissed,26261,
attention,26257,
min,26256,
ho,26248,
works,26236,
faith,26196,
nights,26181,
harry,26135,
afraid,25999,
wednesday,25993,
breakfast,25924,
te,25910,
project,25883,
greatest,25815,
worse,25787,
sleepy,25771,
teacher,25752,
throw,25725,
winter,25594,
add,25519,
likes,25434,
straight,25413,
yu,25372,
figure,25357,
passed,25286,
floor,25241,
pool,25148,
goodbye,25127,
chill,25124,
support,25099,
slow,25044,
camp,25021,
played,24992,
dumb,24988,
box,24954,
laptop,24941,
stars,24925,
sex,24905,
michael,24861,
mommy,24745,
dress,24708,
changed,24701,
dude,24679,
dr,24672,
follow,24664,
clothes,24653,
completely,24618,
complete,24582,
hospital,24547,
color,24501,
evil,24447,
club,24425,
boyfriend,24399,
control,24393,
yall,24269,
epic,24023,
tickets,23990,
absolutely,23985,adv
order,23980,
cheese,23969,
choice,23968,
american,23925,
store,23872,
honor,23836,
idk,23818,
interview,23793,
street,23768,
sooooo,23750,
ball,23670,
shot,23635,
choose,23572,
count,23559,
prayers,23538,
::,23517,emoji
cell,23468,
:-),23463,emoji
deep,23449,
ve,23404,
feelin,23348,
yang,23308,
shoes,23304,
bar,23284,
office,23271,
click,23189,
experience,23085,
relationship,23083,
dancing,22991,
arms,22935,
>:,22850,emoji
lazy,22818,
train,22811,
turned,22791,
mum,22771,
books,22752,
freakin,22752,
daddy,22746,
inbox,22745,
laundry,22715,
justin,22691,
reality,22657,
promise,22650,
singing,22650,
wife,22625,
doctor,22620,
questions,22612,
wine,22569,
cure,22479,
fish,22473,
finals,22453,
present,22402,
sign,22354,
chat,22345,
meeting,22293,
ta,22271,
normal,22258,
potter,22241,
repost,22241,
fingers,22225,
tho,22207,
burn,22163,
hrs,22163,
wearing,22137,
fan,22136,
deal,22133,
problems,22127,
essay,22120,
kung,22009,
confused,21961,
naman,21907,
doin,21860,
success,21842,
ate,21812,
boo,21789,
ke,21781,
married,21695,
extra,21666,
miles,21663,
cookies,21633,
simple,21612,
semester,21535,
ladies,21467,
id,21464,
sexy,21423,
mess,21331,
laughing,21294,
ne,21292,
visit,21250,
wind,21241,
hahah,21232,
waste,21213,
james,21201,
apparently,21189,
share,21183,
looked,21119,
es,21094,
txt,21047,
packing,20994,
prayer,20860,
business,20839,
fit,20832,
fam,20797,
sat,20795,
ground,20778,
stress,20753,
turns,20699,
deserve,20679,
hearts,20636,
service,20569,
calling,20545,
strength,20512,
hehe,20509,
fake,20499,
fml,20493,
law,20484,
wild,20478,
exams,20473,
storm,20459,
case,20444,
guitar,20431,
aren't,20426,
butt,20383,
swear,20381,
watchin,20362,
fix,20324,
card,20323,
pic,20314,
trouble,20179,
relax,20174,
knowing,20136,
blast,20115,
enjoyed,20112,
meant,20054,
ran,20054,
handle,19997,
south,19990,
slept,19985,
breath,19966,
relaxing,19966,
quiet,19944,
begin,19940,
piece,19939,
bike,19910,
bloody,19880,
smell,19869,
bro,19836,
killing,19834,
sunshine,19816,
christ,19764,
je,19757,
ideas,19723,
swimming,19718,
friendship,19717,
hug,19704,
july,19616,
ima,19609,
hindi,19581,
hubby,19581,
beauty,19580,
learning,19580,
brown,19565,
energy,19541,
dogs,19519,
pink,19504,
health,19457,
worked,19426,
eh,19419,
putting,19375,
angel,19334,
rip,19332,
lies,19324,
ahh,19316,
ipod,19284,
ye,19284,
heat,19279,
tu,19239,
easter,19191,
nose,19182,
foot,19179,
lay,19160,
wee,19160,
gunna,19156,
hav,19146,
ou,19089,
yg,19070,
mall,19026,
david,19022,
isnt,19011,
chris,18967,
soccer,18940,
raining,18907,
mistakes,18883,
training,18854,
annoying,18827,
america,18793,
ahhh,18763,
telling,18762,
gud,18751,
bore,18729,
continue,18688,
outta,18679,
vote,18627,
le,18578,
hide,18573,
cross,18524,
reach,18492,
yummy,18470,
pants,18438,
horrible,18403,
finding,18402,
huge,18400,
shoot,18383,
bear,18327,
interested,18319,
con,18301,
fantastic,18286,
lake,18279,
decide,18261,
dying,18261,
tough,18261,
los,18244,
lonely,18229,
crying,18218,
lookin,18173,
bright,18155,
lesson,18131,
feelings,18113,
headed,18107,
expect,18101,
goal,18099,
ways,18088,
goo,18082,
loud,18082,
caught,18049,
mark,18030,
mama,18010,
santa,18010,
babies,18005,
holidays,17967,
ki,17957,
sis,17956,
smart,17945,
taylor,17934,
ten,17926,
staying,17915,
positive,17885,
waking,17880,
babe,17846,
freedom,17830,
window,17825,
paid,17819,
yrs,17741,
space,17734,
walked,17719,
beginning,17705,
india,17695,
respect,17691,
jack,17681,
pack,17676,
angry,17672,
san,17672,
double,17616,
company,17596,
chinese,17591,
hw,17576,
glass,17543,
(8,17537,emoji
strange,17484,
exhausted,17473,
lights,17457,
drop,17420,
breathe,17375,
truck,17340,
:\\,17332,emoji
entire,17319,
tom,17312,
numbers,17287,
photos,17282,
accept,17262,v
lovin,17250,
nervous,17244,
battle,17224,
tht,17207,
bt,17188,
calls,17152,
million,17144,
return,17128,
treat,17127,
pero,17124,
joke,17050,
secret,17039,
fu,17008,
update,17008,
ugly,17003,
account,17000.24,n
wa,16989,
ms,16984,
album,16949,
sam,16932,
ga,16923,
brothers,16922,
sisters,16892,
bag,16879,
cook,16868,
shop,16867,
thinkin,16867,
jump,16822,
losing,16820,
scary,16761,
match,16734,
holding,16724,
social,16715,
low,16697,
email,16666,
track,16658,
stomach,16623,
bet,16611,
filled,16583,
april,16577,
library,16577,
imma,16531,
dirty,16527,
science,16500,
wisdom,16493,
teeth,16477,
sarah,16472,
moments,16461,
throat,16455,
google,16450,
major,16449,
apple,16447,
yum,16442,
=],16439,emoji
we've,16433,
silence,16414,
killed,16386,
surgery,16378,
midnight,16367,
legs,16342,
cooking,16331,
french,16325,
por,16312,
celebrate,16304,
shift,16296,
rate,16276,
forgive,16224,
decision,16211,
:],16193,emoji
letter,16190,
grace,16157,
radio,16148,
ticket,16126,
kitchen,16117,
fresh,16108,
hopes,16099,
glee,16097,
8:00,16068,time
grandma,16063,
valentines,16061,
magic,16058,
fool,16035,
spanish,16025,
hero,15995,
coz,15994,
gold,15994,
ring,15979,
difficult,15955,
ends,15941,
pop,15926,
bottle,15868,
huh,15852,
film,15847,
quote,15847,
fucked,15843,
nothin,15843,
plz,15843,
key,15811,
xmas,15788,
taste,15786,
harder,15745,
havent,15745,
system,15744,
din,15742,
bowl,15702,
weight,15693,
degrees,15692,
quick,15688,
episode,15684,
helping,15678,
flu,15668,
pull,15664,
shes,15660,
basketball,15623,
wala,15622,
